Mont,Jus,TpJ,di,hi,mi,df,hf,mf,defluencia
83,1,S,30,13,0,F,0.0,0.0,272
83,1,S,30,13,1,F,0.0,0.0,272
83,1,S,30,14,0,F,0.0,0.0,356
83,1,S,30,14,1,F,0.0,0.0,356
83,1,S,30,15,0,F,0.0,0.0,356
83,1,S,30,15,1,F,0.0,0.0,356
83,1,S,30,16,0,F,0.0,0.0,356
83,1,S,30,16,1,F,0.0,0.0,356
83,1,S,30,17,0,F,0.0,0.0,356
83,1,S,30,17,1,F,0.0,0.0,356
83,1,S,30,18,0,F,0.0,0.0,356
83,1,S,30,18,1,F,0.0,0.0,356
83,1,S,30,19,0,F,0.0,0.0,356
83,1,S,30,19,1,F,0.0,0.0,355
83,1,S,30,20,0,F,0.0,0.0,355
83,1,S,30,20,1,F,0.0,0.0,355
83,1,S,30,21,0,F,0.0,0.0,355
83,1,S,30,21,1,F,0.0,0.0,355
83,1,S,30,22,0,F,0.0,0.0,355
83,1,S,30,22,1,F,0.0,0.0,355
83,1,S,30,23,0,F,0.0,0.0,355
83,1,S,30,23,1,F,0.0,0.0,355
