&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;   84 ;D3DAMN_Dona Mirian_01221_CGH             ;      9999 ;1.0 ;0; 
EOLICA ;   85 ;D3AUTO_Autodromo_01222_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;   86 ;D3BOAF_Boa Fe_01222_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   87 ;D3SANN_Santo Antonio De Casca_01222_CGH  ;      9999 ;1.0 ;0; 
EOLICA ;   88 ;D3SAOP_Sao Paulo_01222_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;   89 ;D3UGPR_Guapore_01226_CGH                 ;      9999 ;1.0 ;0; 
EOLICA ;   90 ;D3ITAQ_Itaqui_01235_UTE                  ;      9999 ;1.0 ;0; 
EOLICA ;   91 ;D3PCTS_PCT SLC Alimentos_01240_UTE       ;      9999 ;1.0 ;0; 
EOLICA ;   92 ;D3BELA_Bela Uniao (Trincheira)_01282_PCH ;      9999 ;1.0 ;0; 
EOLICA ;   93 ;D3BURI_Burica_01282_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;   94 ;D3SANA_Santa Rosa_01282_PCH              ;      9999 ;1.0 ;0; 
EOLICA ;   95 ;D3SATN_Santo Antonio_01282_PCH           ;      9999 ;1.0 ;0; 
EOLICA ;   96 ;D3UCAP_Capigui_01284_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;   97 ;D3UERN_Ernestina_01284_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;   98 ;BCPCPM_CJLAJGRANDE_01288_UHE             ;      9999 ;1.0 ;0; 
EOLICA ;   99 ;D3FURN_Furnas do Segredo_01289_PCH       ;      9999 ;1.0 ;0; 
EOLICA ;  100 ;D3COLR_Colorado_01305_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  101 ;D3MATC_Mata Cobra_01305_PCH              ;      9999 ;1.0 ;0; 
EOLICA ;  102 ;D3SBER_Sao Bernardo_01310_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;  103 ;D3UESM_Esmeralda_01310_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;  104 ;D3UFOR_Forquilha_01310_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;  105 ;D3RINC_Rincao_01311_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;  106 ;D3CADR_Cacador_01316_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;  107 ;D3COTP_Cotipora_01316_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  108 ;D3LHEM_Linha Emilia_01316_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;  109 ;D3UDLH_Da Ilha_01317_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;  110 ;D3UJAR_Jararaca_01317_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  111 ;D3CARS_Carlos Gonzatto_01319_PCH         ;      9999 ;1.0 ;0; 
EOLICA ;  112 ;D3JARD_Jardim_01328_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;  113 ;D3MGRD_Morro Grande_01328_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;  114 ;D3SANT_Santa Carolina_01328_PCH          ;      9999 ;1.0 ;0; 
EOLICA ;  115 ;D3TRAB_Trabuco_01328_CGH                 ;      9999 ;1.0 ;0; 
EOLICA ;  116 ;D3USAL_Saltinho_01328_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;  117 ;D3RFAP_REFAP_01332_UTE                   ;      9999 ;1.0 ;0; 
EOLICA ;  118 ;ELUECI_CIDREIRA_01347_UEE                ;      9999 ;1.0 ;0; 
EOLICA ;  119 ;EFEVDI_VENTOS INDIOS_01369_UEE           ;      9999 ;1.0 ;0; 
EOLICA ;  120 ;EFEVSI_VENTOS LITORAL_01369_UEE          ;      9999 ;1.0 ;0; 
EOLICA ;  121 ;EFEVSO_VENTOS SUL_01369_UEE              ;      9999 ;1.0 ;0; 
EOLICA ;  122 ;EFEVSS_VENTOS LAGOA_01369_UEE            ;      9999 ;1.0 ;0; 
EOLICA ;  123 ;EFLBA _CJLBARROS_01369_UEE               ;      9999 ;1.0 ;0; 
EOLICA ;  124 ;EFEVDI_VENTOS INDIOS_01370_UEE           ;      9999 ;1.0 ;0; 
EOLICA ;  125 ;EFEVSI_VENTOS LITORAL_01370_UEE          ;      9999 ;1.0 ;0; 
EOLICA ;  126 ;EFEVSO_VENTOS SUL_01370_UEE              ;      9999 ;1.0 ;0; 
EOLICA ;  127 ;EFEVSS_VENTOS LAGOA_01370_UEE            ;      9999 ;1.0 ;0; 
EOLICA ;  128 ;EFLBA _CJLBARROS_01370_UEE               ;      9999 ;1.0 ;0; 
EOLICA ;  129 ;EFEVDI_VENTOS INDIOS_01371_UEE           ;      9999 ;1.0 ;0; 
EOLICA ;  130 ;EFEVSI_VENTOS LITORAL_01371_UEE          ;      9999 ;1.0 ;0; 
EOLICA ;  131 ;EFEVSO_VENTOS SUL_01371_UEE              ;      9999 ;1.0 ;0; 
EOLICA ;  132 ;EFEVSS_VENTOS LAGOA_01371_UEE            ;      9999 ;1.0 ;0; 
EOLICA ;  133 ;EFLBA _CJLBARROS_01371_UEE               ;      9999 ;1.0 ;0; 
EOLICA ;  134 ;D3GALP_Galopolis_01388_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;  135 ;A2ENER_ENERVALE_01483_UTE                ;      9999 ;1.0 ;0; 
EOLICA ;  136 ;A5UTVP_Bioenergetica Vale do P_01483_UTE ;      9999 ;1.0 ;0; 
EOLICA ;  137 ;A2FCR _FCR III Itapuranga_01487_UFV      ;      9999 ;1.0 ;0; 
EOLICA ;  138 ;A5BRSU_Brisas Suaves_01488_UFV           ;      9999 ;1.0 ;0; 
EOLICA ;  139 ;A2ITA1_Ita 01_01493_UFV                  ;      9999 ;1.0 ;0; 
EOLICA ;  140 ;A2ITA2_Ita 02_01493_UFV                  ;      9999 ;1.0 ;0; 
EOLICA ;  141 ;A2CRIS_CRISTINA_01504_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  142 ;A2LDAS_Luiz Dias_01504_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;  143 ;A2NINH_NINHO DA AGUIA_01504_PCH          ;      9999 ;1.0 ;0; 
EOLICA ;  144 ;A5REPI_REDE ELETRICA PIQUETE_01504_PCH   ;      9999 ;1.0 ;0; 
EOLICA ;  145 ;A2MRTN_Martins_01506_UHE                 ;      9999 ;1.0 ;0; 
EOLICA ;  146 ;A5PISS_PISSARRAO_01506_CGH               ;      9999 ;1.0 ;0; 
EOLICA ;  147 ;A5SEL _SELECTA_01506_UTE                 ;      9999 ;1.0 ;0; 
EOLICA ;  148 ;A2DOUR_DOURADOS_01519_CGH                ;      9999 ;1.0 ;0; 
EOLICA ;  149 ;A5VALI_VALINHO_01521_UTE                 ;      9999 ;1.0 ;0; 
EOLICA ;  150 ;A2CJRU_Cajuru_01524_UHE                  ;      9999 ;1.0 ;0; 
EOLICA ;  151 ;A2GFNT_Gafanhoto_01524_UHE               ;      9999 ;1.0 ;0; 
EOLICA ;  152 ;A2CAQ _CAQUENDE_01526_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  153 ;A2JULI_JULIOES_01526_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;  154 ;A2DIV _DIVINOPOLIS_01527_CGH             ;      9999 ;1.0 ;0; 
EOLICA ;  155 ;A5SAMB_SAMBURA_01528_CGH                 ;      9999 ;1.0 ;0; 
EOLICA ;  156 ;A5TOTA_TOTAL_01528_UTE                   ;      9999 ;1.0 ;0; 
EOLICA ;  157 ;A5UTT _BAMBUI_01528_UTE                  ;      9999 ;1.0 ;0; 
EOLICA ;  158 ;A2ANTO_ANTONIO DIAS_01532_CGH            ;      9999 ;1.0 ;0; 
EOLICA ;  159 ;A2CGR1_COCAIS GRANDE_01532_PCH           ;      9999 ;1.0 ;0; 
EOLICA ;  160 ;A2CGR2_COCAIS GRANDE_01532_PCH           ;      9999 ;1.0 ;0; 
