& CONDICOES INICIAIS DAS UNIDADES                
&                                                
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
205  MANAUARA       1    1        16.70    436  1  0
205  MANAUARA       2    1        16.70    607  0  0
205  MANAUARA       3    1        14.90    384  1  0
205  MANAUARA       4    1        16.70    396  1  0
207  PONTA NEGRA    1    1        16.00  13714  0  0
207  PONTA NEGRA    2    1        16.00  13714  0  0
207  PONTA NEGRA    3    1        16.00  13714  0  0
207  PONTA NEGRA    4    1        16.00  13714  0  0
209  TAMBAQUI       5    0         0.00   1012  1  0
209  TAMBAQUI       6    1        26.90  12232  0  0
209  TAMBAQUI       7    1        36.10   1469  0  0
211  BAIXADA FLU    1    0         0.00   2520  0  0
211  BAIXADA FLU    2    0         0.00   4800  0  0
211  BAIXADA FLU    3    0         0.00     73  1  0
212  MARANHAO III   1    1       400.00    349  1  0
221  SYKUE I        1    0         0.00   3334  1  0
224  P. SERGIPE I   1    0         0.00   8040  0  0
224  P. SERGIPE I   2    0         0.00   8271  0  0
224  P. SERGIPE I   3    0         0.00   9744  0  0
224  P. SERGIPE I   4    0         0.00   8294  1  0
224  P. SERGIPE I   5    0         0.00   9744  0  0
224  P. SERGIPE I   6    0         0.00   8520  1  0
224  P. SERGIPE I   7    0         0.00   8484  0  0
229  ONCA PINTADA   1    1        49.00      0  0  0
383  ATLANTICO      1    0         0.00   7463  0  0
383  ATLANTICO      2    0         0.00   7536  0  0
383  ATLANTICO      3    0         0.00    840  0  0
383  ATLANTICO      4    1       170.00    360  0  0
383  ATLANTICO      5    0         0.00    840  0  0
383  ATLANTICO      6    0         0.00   5856  1  0
383  ATLANTICO      7    0         0.00    360  0  0
FIM
&
&
& LIMITES E CONDICOES OPERACIONAIS DAS UNIDADES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
&
OPER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&us    nome      un di hi m df hf m Gmin     Gmax       Custo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
&XX XXXXXXXXXXXX XX XX XX X XX XX X XXXXXXXXXXxxxxxxxxxxXXXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
  1 ANGRA 1       1  1  0 0 F                                31.17
 13 ANGRA 2       1  1  0 0 F                                20.12
211 BAIXADA FL    1  1  0 0 F                               182.20
211 BAIXADA FL    2  1  0 0 F                               182.20
