NUM;NOME;itp;DI;HI;M;DF;HF;M;VAZAO
115;G.P. SOUZA;1;1;;;F;;;10
73;JORDAO;1;1;;;F;;;4
71;STA CLARA PR;1;1;;;F;;;15
71;STA CLARA PR;1;3;;;F;;;14
71;STA CLARA PR;1;6;;;F;;;13
72;FUNDAO;1;1;;;F;;;1
57;MAUA;1;1;;;F;;;78
57;MAUA;1;2;;;F;;;76
57;MAUA;1;3;;;F;;;74
57;MAUA;1;4;;;F;;;72
57;MAUA;1;5;;;F;;;71
57;MAUA;1;6;;;F;;;69
57;MAUA;1;7;;;F;;;68
77;SLT.SANTIAGO;1;1;;;F;;;9
77;SLT.SANTIAGO;1;5;;;F;;;8
78;SALTO OSORIO;1;1;;;F;;;4
78;SALTO OSORIO;1;4;;;F;;;3
93;PASSO FUNDO;1;1;;;F;;;5
93;PASSO FUNDO;1;6;;;F;;;6
91;MACHADINHO;1;1;;;F;;;15
91;MACHADINHO;1;3;;;F;;;14
91;MACHADINHO;1;5;;;F;;;13
92;ITA;1;1;;;F;;;17
92;ITA;1;2;;;F;;;16
92;ITA;1;4;;;F;;;15
92;ITA;1;6;;;F;;;14
252;CANA BRAVA;1;1;;;F;;;65
252;CANA BRAVA;1;2;;;F;;;63
252;CANA BRAVA;1;3;;;F;;;61
252;CANA BRAVA;1;4;;;F;;;59
252;CANA BRAVA;1;5;;;F;;;57
252;CANA BRAVA;1;6;;;F;;;56
252;CANA BRAVA;1;7;;;F;;;54
253;SAO SALVADOR;1;1;;;F;;;64
253;SAO SALVADOR;1;2;;;F;;;62
253;SAO SALVADOR;1;3;;;F;;;60
253;SAO SALVADOR;1;4;;;F;;;58
253;SAO SALVADOR;1;5;;;F;;;56
253;SAO SALVADOR;1;6;;;F;;;55
253;SAO SALVADOR;1;7;;;F;;;53
267;ESTREITO TOC;1;1;;;F;;;2791
267;ESTREITO TOC;1;2;;;F;;;2557
267;ESTREITO TOC;1;3;;;F;;;2362
267;ESTREITO TOC;1;4;;;F;;;2201
267;ESTREITO TOC;1;5;;;F;;;2068
267;ESTREITO TOC;1;6;;;F;;;1958
267;ESTREITO TOC;1;7;;;F;;;1868
281;PONTE PEDRA;1;1;;;F;;;65
9;JAGUARA;1;1;;;F;;;2
26;MIRANDA;1;1;;;F;;;5
