& Proposta arquivo polijus.dat
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& HjusRef: n�vel de montante da usina de jusante para refer�ncia da fam�lia
& nPol: quantidade de polin�mios da fam�lia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
CURVAJUS   0143     002       60.7373  003
CURVAJUS   0144     001       36.8471  002
CURVAJUS   0148     001      328.7718  002
CURVAJUS   0154     001       26.6256  002
CURVAJUS   0155     001      576.8161  003
CURVAJUS   0156     001      514.6403  002
CURVAJUS   0162     001      636.8051  002
CURVAJUS   0169     001      359.6195  002
CURVAJUS   0172     001      251.3048  002
CURVAJUS   0172     002      251.4000  002
CURVAJUS   0172     003      251.5000  002
CURVAJUS   0172     004      251.6000  002
CURVAJUS   0172     005      251.7000  002
CURVAJUS   0173     001      229.3471  002
CURVAJUS   0173     002      229.7000  003
CURVAJUS   0173     003      229.9000  003
CURVAJUS   0173     004      230.1000  003
CURVAJUS   0173     005      230.3000  002
CURVAJUS   0174     001      141.1087  002
CURVAJUS   0175     001      136.9309  002
CURVAJUS   0175     002      137.2000  003
CURVAJUS   0175     003      137.4000  003
CURVAJUS   0175     004      137.7000  003
CURVAJUS   0178     001       11.2474  002
CURVAJUS   0189     001        3.5204  002
CURVAJUS   0193     001      255.6958  002
CURVAJUS   0195     001      248.5122  002
CURVAJUS   0196     001      303.0768  002
CURVAJUS   0203     001      728.8922  002
CURVAJUS   0215     001      112.1000  002
CURVAJUS   0217     001      360.6589  002
CURVAJUS   0241     001      326.3332  002
CURVAJUS   0241     002      326.6095  003
CURVAJUS   0241     003      327.3850  003
CURVAJUS   0249     001      385.7470  002
CURVAJUS   0251     001      332.8102  002
CURVAJUS   0251     002      333.4093  002
CURVAJUS   0251     003      333.9480  003
CURVAJUS   0252     001      287.3519  002
CURVAJUS   0253     001      261.9078  002
CURVAJUS   0253     002      262.1000  002
CURVAJUS   0253     003      262.4000  002
CURVAJUS   0253     004      262.9000  002
CURVAJUS   0257     001      233.7062  002
CURVAJUS   0261     001      171.7680  002
CURVAJUS   0262     001      394.5533  002
CURVAJUS   0267     001      129.5976  002
CURVAJUS   0272     001        9.7193  002
CURVAJUS   0275     001        3.6943  003
CURVAJUS   0276     001      203.2282  002
CURVAJUS   0277     001       24.2741  002
CURVAJUS   0278     001      223.8134  002
CURVAJUS   0279     001       53.0726  002
CURVAJUS   0281     001      149.6014  003
CURVAJUS   0283     001       32.6610  002
CURVAJUS   0284     001        1.4145  002
CURVAJUS   0285     001       70.7045  002
CURVAJUS   0286     001        2.0315  002
CURVAJUS   0287     001       44.0016  002
CURVAJUS   0290     001      524.7315  002
CURVAJUS   0304     001      320.2540  001
CURVAJUS   0305     001      179.7100  002
CURVAJUS   0311     001      448.1222  002
CURVAJUS   0312     001      409.5139  002
CURVAJUS   0312     002      409.9821  003
CURVAJUS   0315     001      324.5076  002
CURVAJUS   0315     002      326.9525  003
CURVAJUS   0315     003      327.7253  002
&
CURVAJUS   0190     001             0  001
CURVAJUS     73       1             0    1
CURVAJUS     83       1             0    1
CURVAJUS    107       1             0    1
CURVAJUS    108       1             0    1
CURVAJUS    109       1             0    1
CURVAJUS    110       1             0    1
CURVAJUS    114       1             0    1
CURVAJUS    115       1             0    1
CURVAJUS    117       1             0    1
CURVAJUS    118       1             0    1
CURVAJUS    124       1             0    1
CURVAJUS    125       1             0    1
CURVAJUS    130       1             0    1
CURVAJUS    131       1             0    1
CURVAJUS    133       1             0    1
CURVAJUS    134       1             0    1
CURVAJUS    139       1             0    1
CURVAJUS    153       1             0    1
CURVAJUS    180       1             0    1
CURVAJUS    181       1             0    1
CURVAJUS    182       1             0    1
CURVAJUS    183       1             0    1
CURVAJUS    184       1             0    1
CURVAJUS    192       1             0    1
CURVAJUS    204       1             0    1
CURVAJUS    227       1             0    1
CURVAJUS    228       1             0    1
CURVAJUS    229       1             0    1
CURVAJUS    230       1             0    1
CURVAJUS    280       1             0    1
CURVAJUS    288       1             0    1
CURVAJUS    310       1             0    1
CURVAJUS    314       1             0    1
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&
& Cadastro dos coeficientes dos polin�mios por partes das curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& QjusMin: Limite inferior de vaz�o de jusante (deflu�ncia mais lateral) para janela de validade do polin�mio
& QjusMax: Limite superior de vaz�o de jusante (deflu�ncia mais lateral) para janela de validade do polin�mio
& a0 : coeficiente de grau 0 do polin�mio
& a1 : coeficiente de grau 1 do polin�mio
& a2 : coeficiente de grau 2 do polin�mio
& a3 : coeficiente de grau 3 do polin�mio
& a4 : coeficiente de grau 4 do polin�mio
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&          Usina    Indice      QjusMin               QjusMax                  a0                  a1                    a2                   a3                   a4
&XXXXX     XXXX     XXX     XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXX
PPPJUS     0001     001     0000000000000000.0D0 0000000000000395.1D0 0.88563947603824D+03 -.38297684818606D-17 0.12196974728551D-04 -.97634321335944D-08 0.00000000000000D+01
